"","x"
"398","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"399","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"400","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"401","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"402","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"403","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"404","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"405","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"406","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"407","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"408","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"409","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"410","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"411","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"412","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"413","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"414","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"415","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"416","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"417","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"418","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"419","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"420","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"421","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"422","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"423","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"424","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"425","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"426","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"427","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"428","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"429","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"430","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"431","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"432","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"433","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"434","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"435","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"436","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"437","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"438","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"439","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"440","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"441","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"442","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"443","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"444","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"445","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"446","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"447","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"448","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"449","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"450","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"451","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"452","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"453","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"454","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"455","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"456","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"457","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"458","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"459","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"460","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"461","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"462","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"463","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"464","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"465","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"466","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"467","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"468","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"469","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"470","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"471","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"472","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"473","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"474","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"475","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"476","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"477","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"478","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"479","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"480","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"481","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"482","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"483","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"484","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"485","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"486","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"487","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"488","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"489","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"490","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"491","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"492","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"493","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"494","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"495","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"496","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"497","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"498","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"499","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"500","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"501","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"502","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"503","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"504","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"505","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"506","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"507","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"508","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"509","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"510","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"511","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"512","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"513","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"514","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"515","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"516","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"517","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"518","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"519","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"520","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"521","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"522","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"523","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"524","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"525","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"526","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"527","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"528","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"529","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"530","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"531","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"532","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"533","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"534","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"535","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"536","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"537","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"538","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"539","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"540","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"541","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"542","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"543","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"544","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"545","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"546","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"547","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"548","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"549","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"550","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"551","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"552","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"553","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"554","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"555","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"556","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"557","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"558","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"559","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"560","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"561","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"562","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"563","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"564","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"565","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"566","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"567","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"568","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"569","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"570","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"571","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"572","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"573","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"574","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"575","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
"576","CP065322.1_Akkermansia_muciniphila_strain_YL44_chromosome"
"577","CP065321.1_Acutalibacter_muris_strain_KB18_chromosome"
"578","CP065311.1_Bifidobacterium_animalis_strain_YL2_chromosome"
"579","CP065319.1_Bacteroides_caecimuris_strain_I48_chromosome"
"580","CP065312.1_Blautia_pseudococcoides_strain_YL58_chromosome"
"581","CP065320.1_Clostridium_innocuum_strain_I46_chromosome"
"582","CP065314.1_Enterocloster_clostridioformis_strain_YL32_chromosome"
"583","CP065317.1_Enterococcus_faecalis_strain_KB1_chromosome"
"584","CP065315.1_Flavonifractor_plautii_strain_YL31_chromosome"
"585","CP065318.1_Limosilactobacillus_reuteri_strain_I49_chromosome"
"586","CP065316.1_Muribaculum_intestinale_strain_YL27_chromosome"
"587","CP065313.1_Turicimonas_muris_strain_YL45_chromosome"
