	Virulent	Temperate
M2025_k119_147359_flag=0_multi=12.9919_len=29650	0.9125	0.0875
M2042_k119_104828_flag=0_multi=98.9612_len=50591_fragment_1	0.060544612	0.939455388
P6014_k119_153795_flag=3_multi=107.0018_len=60568	0.225	0.775
M2048_k119_173033_flag=0_multi=48.0961_len=45896	0.7875	0.2125
E5004_k119_125497_flag=1_multi=18.4365_len=27592	0.15	0.85
M2047_k119_261529_flag=3_multi=20.0035_len=5816	0.833631119	0.166368881
H4008_k119_83403_flag=0_multi=297.9059_len=126412_fragment_1	0.931779094	0.068220906
M2064_k119_276602_flag=0_multi=28.9746_len=44135_fragment_1	0.720044053	0.279955947
P6010_k119_171656_flag=0_multi=79.9359_len=49432	0.998951454	0.001048546
H4001_k119_19894_flag=0_multi=30.2306_len=74212_fragment_1	0	1
H4010_k119_29460_flag=1_multi=22.0000_len=41579	0.85	0.15
P6018_k119_189425_flag=1_multi=70.9902_len=143699_fragment_1	0.0375	0.9625
P6035_k119_103859_flag=0_multi=45.9670_len=27374	0.025	0.975
C3028_k119_50794_flag=0_multi=122.9639_len=67769_fragment_1	0	1
M2025_k119_59917_flag=0_multi=32.9782_len=58960	0.940528634	0.059471366
C3012_k119_93108_flag=0_multi=32.9057_len=81691_fragment_1	0.05	0.95
P6035_k119_1933_flag=0_multi=495.7023_len=149784_fragment_2	0	1
M2069_k119_27701_flag=1_multi=120.0000_len=60309_fragment_1	0	1
C3022_k119_34795_flag=1_multi=168.9841_len=63715_fragment_2	0.3125	0.6875
M2077_k119_79043_flag=0_multi=61.2539_len=13648	0.935022026	0.064977974
E5009_k119_60634_flag=1_multi=12.0000_len=20465	0.925	0.075
M2068_k119_30962_flag=1_multi=29.0000_len=46140	0.85	0.15
H4014_k119_39794_flag=1_multi=17.0000_len=26390	0	1
M2047_k119_104846_flag=0_multi=78.9503_len=31530	0.7375	0.2625
H4023_k119_215529_flag=0_multi=25.9856_len=36701	0.4375	0.5625
H4027_k119_98565_flag=0_multi=208.5710_len=327966_fragment_1	0.05	0.95
E5004_k119_42195_flag=0_multi=35.9817_len=38468_fragment_1	0.1625	0.8375
M2014_k119_103708_flag=0_multi=193.8209_len=27748	0.8875	0.1125
M2075_k119_96688_flag=0_multi=614.8123_len=65531	0.811878202	0.188121798
H4013_k119_100143_flag=0_multi=47.2095_len=26385	0.949914568	0.050085432
C3011_k119_122893_flag=1_multi=733.0000_len=13275	0.811878202	0.188121798
M2047_k119_168295_flag=0_multi=643.0000_len=29667	0.1875	0.8125
M2039_k119_14474_flag=0_multi=45.9930_len=129408_fragment_2	0.0375	0.9625
C3017_k119_88983_flag=0_multi=43.9681_len=27065	0.9875	0.0125
H4020_k119_64130_flag=0_multi=150.5650_len=60702_fragment_2	0.791226204	0.208773796
C3001_k119_9483_flag=1_multi=8.0000_len=3874	0	1
M2008_k119_57717_flag=0_multi=107.5084_len=131966_fragment_1	0.7875	0.2125
M2060_k119_33314_flag=0_multi=54.9248_len=42490	0.1125	0.8875
H4008_k119_179733_flag=0_multi=138.7676_len=23868	0.9	0.1
M2083_k119_15267_flag=0_multi=41.0444_len=49056_fragment_1	0.1375	0.8625
C3009_k119_36161_flag=0_multi=140.3883_len=24217	0	1
H4022_k119_59673_flag=1_multi=18.7951_len=92980_fragment_1	0.0875	0.9125
C3013_k119_111685_flag=3_multi=61.0014_len=42195	1	0
C3022_k119_59120_flag=1_multi=56.0000_len=5764	0.811878202	0.188121798
M2083_k119_153819_flag=0_multi=33.4671_len=63131_fragment_1	0.547522026	0.452477974
P6017_k119_52359_flag=0_multi=198.9086_len=84650_fragment_2	0.811946177	0.188053823
P6035_k119_70665_flag=0_multi=22.0000_len=6315	0.0125	0.9875
M2014_k119_111878_flag=1_multi=79.9775_len=70237_fragment_2	0.325	0.675
C3015_k119_84222_flag=0_multi=23.9780_len=21039	0.903248899	0.096751101
M2103_k119_19402_flag=0_multi=23.0000_len=38982	0.025	0.975
C3032_k119_409_flag=1_multi=103.0000_len=45648	0.917566079	0.082433921
M2028_k119_14089_flag=0_multi=31.9787_len=58278	0.8375	0.1625
H4027_k119_35908_flag=0_multi=37.9728_len=50546_fragment_1	0.0125	0.9875
H4014_k119_118061_flag=0_multi=150.0000_len=12526	0.1625	0.8375
C3035_k119_32696_flag=0_multi=145.0582_len=189600_fragment_2	0.6625	0.3375
H4017_k119_17624_flag=1_multi=36.0000_len=58154_fragment_2	0.075	0.925
C3006_k119_171538_flag=1_multi=13.0000_len=46919_fragment_1	0.861156518	0.138843482
M2081_k119_44158_flag=1_multi=16.0000_len=47819	0.660022026	0.339977974
M2042_k119_221165_flag=0_multi=191.7419_len=29720	0	1
M2068_k119_20136_flag=0_multi=34.3146_len=34530	0.0375	0.9625
P6028_k119_95625_flag=0_multi=40.9377_len=25819	0.683286903	0.316713097
C3035_k119_38148_flag=0_multi=90.2775_len=99857_fragment_1	0	1
M2064_k119_78562_flag=1_multi=7.0000_len=2001	0.811878202	0.188121798
C3022_k119_73132_flag=0_multi=13.2188_len=9906	1	0
H4024_k119_3138_flag=0_multi=51.0000_len=57714_fragment_1	0	1
M2071_k119_35303_flag=0_multi=19.9596_len=9521	0.15	0.85
H4023_k119_83237_flag=0_multi=27.0000_len=23720	0	1
H4006_k119_50087_flag=1_multi=16.0000_len=31960	0.947109835	0.052890165
M2028_k119_103125_flag=1_multi=16.0000_len=27333	0	1
M2079_k119_88511_flag=0_multi=1031.6703_len=139638_fragment_1	0.675	0.325
M2061_k119_3811_flag=0_multi=39.9836_len=47628	0.025	0.975
E5004_k119_76004_flag=0_multi=314.0000_len=41089	0.9	0.1
M2064_k119_331020_flag=1_multi=20.0000_len=39000	0.9875	0.0125
M2041_k119_64146_flag=1_multi=39.0000_len=22315	0	1
C3035_k119_97_flag=0_multi=27.0000_len=28014	0.775	0.225
P6013_k119_45020_flag=1_multi=1298.8239_len=78334_fragment_2	0.5125	0.4875
M2072_k119_131588_flag=3_multi=78.0000_len=42137	0.7375	0.2625
M2084_k119_147565_flag=0_multi=67.4877_len=12398	0.1	0.9
P6009_k119_89834_flag=1_multi=12.0000_len=23654	0.9875	0.0125
E5013_k119_61060_flag=0_multi=44.7284_len=23611	0.9	0.1
M2064_k119_204753_flag=1_multi=23.4489_len=30900	0.0875	0.9125
H4019_k119_79424_flag=0_multi=374.0461_len=48319	0	1
C3017_k119_169127_flag=1_multi=23.0000_len=54993	0.965088106	0.034911894
P6005_k119_101997_flag=1_multi=58.0000_len=47212	0.725	0.275
H4001_k119_97_flag=1_multi=1284.5001_len=51487	0.85	0.15
C3003_k119_92731_flag=1_multi=19.0000_len=5837	0.811878202	0.188121798
H4045_k119_113049_flag=0_multi=607.9501_len=243236_fragment_2	0.0375	0.9625
M2069_k119_11796_flag=0_multi=237.7925_len=56620_fragment_1	0.0125	0.9875
M2042_k119_271022_flag=0_multi=154.8706_len=23923	0.025	0.975
C3035_k119_40747_flag=0_multi=528.2855_len=29678	0.9875	0.0125
C3023_k119_120550_flag=3_multi=42.0008_len=52826	0.1375	0.8625
C3019_k119_34127_flag=3_multi=73.0127_len=5877	0.826396414	0.173603586
C3031_k119_16226_flag=0_multi=22.4623_len=167032_fragment_2	0.0625	0.9375
M2026_k119_59803_flag=1_multi=71.0000_len=44011_fragment_1	0.6125	0.3875
C3004_k119_91590_flag=1_multi=8.0000_len=5346	0	1
M2061_k119_116080_flag=1_multi=11.0000_len=3524	0.916879429	0.083120571
M2060_k119_41594_flag=0_multi=28.9505_len=22749	0.811878202	0.188121798
H4035_k119_62615_flag=0_multi=24.0000_len=33830	0.7125	0.2875
H4017_k119_56162_flag=0_multi=146.9161_len=69700	0.8	0.2
H4039_k119_107920_flag=1_multi=234.0000_len=22656	0.920264317	0.079735683
H4014_k119_63921_flag=0_multi=115.2266_len=38780	0.2625	0.7375
H4008_k119_158261_flag=1_multi=74.0000_len=43727	0.8375	0.1625
C3003_k119_64164_flag=1_multi=18.0000_len=23900	0.592566079	0.407433921
H4045_k119_142867_flag=1_multi=14.0000_len=20917	0	1
H4017_k119_49043_flag=0_multi=28.9393_len=26280	0.950220264	0.049779736
C3001_k119_23357_flag=0_multi=44.9431_len=47644	0.025	0.975
E5001_k119_716_flag=1_multi=119.0000_len=33802	0	1
M2083_k119_136782_flag=0_multi=267.6987_len=85178_fragment_1	0.873129971	0.126870029
H4023_k119_221419_flag=0_multi=21.9838_len=23381	0.699725541	0.300274459
C3013_k119_18660_flag=0_multi=61.7311_len=27344	0.8875	0.1125
M2042_k119_252342_flag=0_multi=24.5284_len=23802	0.725	0.275
C3023_k119_51985_flag=1_multi=54.0000_len=55349_fragment_1	0	1
C3035_k119_41068_flag=0_multi=152.3009_len=117449_fragment_2	0.1375	0.8625
H4009_k119_66442_flag=0_multi=66.9625_len=35274	0	1
H4015_k119_109974_flag=1_multi=14.0000_len=26955	0.972742291	0.027257709
P6038_k119_98574_flag=0_multi=18.0000_len=17376	0.948070871	0.051929129
C3012_k119_49195_flag=1_multi=27.0000_len=37940	0.839689734	0.160310266
P6010_k119_48245_flag=0_multi=50.9634_len=27426	0.811878202	0.188121798
M2068_k119_10326_flag=3_multi=537.6623_len=44646	0.25	0.75
H4042_k119_74625_flag=1_multi=29.4365_len=36172	0.835022026	0.164977974
E5013_k119_187451_flag=0_multi=543.6034_len=15700	0.784290096	0.215709904
C3012_k119_101069_flag=1_multi=47.0000_len=16523	0.985005931	0.014994069
M2042_k119_295906_flag=0_multi=30.8529_len=43052_fragment_1	1	0
E5013_k119_2284_flag=0_multi=43.7269_len=44043	0	1
P6028_k119_88456_flag=0_multi=71.7510_len=53866_fragment_1	0.942660116	0.057339884
M2091_k119_20891_flag=1_multi=19.0000_len=39342	0.9875	0.0125
C3013_k119_50055_flag=1_multi=133.0000_len=66879	0.931779094	0.068220906
C3010_k119_51143_flag=0_multi=116.4907_len=28942	0.432423731	0.567576269
M2039_k119_140649_flag=1_multi=56.9752_len=45251	0.959531526	0.040468474
C3008_k119_80165_flag=1_multi=59.8955_len=22696	0.846079174	0.153920826
M2028_k119_58934_flag=0_multi=102.6912_len=50654_fragment_1	0.860398171	0.139601829
C3006_k119_29600_flag=1_multi=67.0000_len=107639	0.6875	0.3125
C3002_k119_1853_flag=0_multi=211.8627_len=61575_fragment_1	0.15	0.85
C3022_k119_148825_flag=3_multi=108.0000_len=35558	0.0875	0.9125
H4031_k119_137368_flag=1_multi=188.0000_len=65223	0.0625	0.9375
M2079_k119_80202_flag=1_multi=10.0000_len=3125	0.811878202	0.188121798
C3015_k119_29940_flag=1_multi=8.0000_len=11896	0.797632159	0.202367841
H4045_k119_136532_flag=0_multi=92.9163_len=22090	0.943006608	0.056993392
M2047_k119_80658_flag=1_multi=38.9639_len=7489	0.811878202	0.188121798
C3005_k119_30856_flag=1_multi=88.0000_len=36610	0.96324285	0.03675715
E5004_k119_41721_flag=0_multi=23.7376_len=8796	0	1
H4015_k119_199507_flag=3_multi=22.0006_len=35515	0	1
M2042_k119_248605_flag=0_multi=330.4971_len=21525	0.811878202	0.188121798
H4019_k119_60750_flag=0_multi=15.9938_len=48242	0.0375	0.9625
E5013_k119_106137_flag=0_multi=30.9237_len=15855	0.871829148	0.128170852
C3015_k119_101709_flag=0_multi=43.3305_len=41363	0.325	0.675
M2079_k119_91999_flag=0_multi=124.9138_len=226816_fragment_1	0.722522026	0.277477974
H4015_k119_81032_flag=0_multi=39.9942_len=11011	0.947522026	0.052477974
M2064_k119_156101_flag=1_multi=21.0000_len=27489	0.0125	0.9875
C3015_k119_52609_flag=0_multi=16.9899_len=31892	0.275	0.725
H4014_k119_119594_flag=1_multi=27.0000_len=10301	0	1
H4023_k119_10008_flag=1_multi=66.0000_len=37048	0.1	0.9
P6009_k119_77464_flag=1_multi=18.9269_len=55452_fragment_1	0	1
M2034_k119_134855_flag=1_multi=852.4846_len=65885_fragment_1	0.125	0.875
C3020_k119_3502_flag=0_multi=60.9981_len=64588	0.025	0.975
H4045_k119_174625_flag=0_multi=25.9732_len=40173	0.1625	0.8375
M2041_k119_146520_flag=1_multi=66.9889_len=35931	0.832544053	0.167455947
H4013_k119_129845_flag=1_multi=39.0000_len=24505	0.9875	0.0125
M2083_k119_11965_flag=1_multi=23.0000_len=36915	0.9375	0.0625
H4027_k119_60462_flag=0_multi=574.8585_len=63410	0.7625	0.2375
M2025_k119_121274_flag=1_multi=78.0000_len=68492	1	0
P6024_k119_81037_flag=0_multi=104.0000_len=35642	0.952698238	0.047301762
M2025_k119_160335_flag=0_multi=47.9775_len=41968	0.0125	0.9875
H4028_k119_119713_flag=1_multi=22.0000_len=88989_fragment_1	0.725	0.275
H4030_k119_29432_flag=1_multi=62.1125_len=55642	0.7875	0.2125
M2014_k119_43461_flag=1_multi=67.9960_len=331584_fragment_1	0	1
H4032_k119_55005_flag=1_multi=22.0000_len=23183	0	1
H4006_k119_228013_flag=1_multi=12.5496_len=37739	0.0125	0.9875
M2103_k119_135416_flag=0_multi=190.9337_len=57433	0.936710342	0.063289658
M2034_k119_239793_flag=0_multi=46.3802_len=26832	0.1125	0.8875
C3013_k119_5561_flag=1_multi=15.0000_len=3294	0.811878202	0.188121798
H4006_k119_12631_flag=0_multi=37.7952_len=43843	0.025	0.975
H4030_k119_61704_flag=3_multi=87.0000_len=42594	0	1
H4015_k119_6505_flag=0_multi=18.9818_len=19860	0.025	0.975
H4028_k119_119823_flag=0_multi=58.8030_len=6008	0	1
P6005_k119_48729_flag=0_multi=26.5762_len=29050	0.125	0.875
M2042_k119_234200_flag=1_multi=151.7590_len=25803	0	1
P6024_k119_25621_flag=1_multi=12.0000_len=9042	0.811878202	0.188121798
H4010_k119_131769_flag=0_multi=199.9307_len=31697	0.95	0.05
M2068_k119_106828_flag=0_multi=133.9073_len=57499	0	1
M2026_k119_3782_flag=1_multi=1464.9516_len=85919	0.8375	0.1625
E5013_k119_81720_flag=0_multi=40.3946_len=32150_fragment_1	0.999210342	0.000789658
M2069_k119_201070_flag=0_multi=71.9233_len=37159	0.0125	0.9875
M2039_k119_120428_flag=0_multi=96.9857_len=28861	0.932544053	0.067455947
H4014_k119_27449_flag=1_multi=14.0000_len=25045	1	0
M2042_k119_57746_flag=1_multi=64.0000_len=31258	0	1
M2075_k119_130942_flag=0_multi=47.5431_len=82304_fragment_1	0	1
M2068_k119_154103_flag=1_multi=231.5131_len=34124	0.85	0.15
M2060_k119_10497_flag=1_multi=35.0000_len=43781	0.95	0.05
M2039_k119_104823_flag=0_multi=15.9735_len=61740_fragment_1	0	1
H4013_k119_19574_flag=0_multi=24.9308_len=29951	0.025	0.975
M2027_k119_184820_flag=1_multi=41.0000_len=38254	0.730645102	0.269354898
H4008_k119_39767_flag=1_multi=97.0000_len=11929	0.811878202	0.188121798
C3032_k119_55076_flag=1_multi=36.0000_len=52876	0	1
H4031_k119_24603_flag=1_multi=141.0000_len=15349	0.811878202	0.188121798
P6014_k119_51368_flag=1_multi=28.0000_len=5922	0.811878202	0.188121798
H4007_k119_9771_flag=0_multi=29.9919_len=71847	0.125	0.875
C3009_k119_35395_flag=1_multi=12.0000_len=31124	0	1
C3021_k119_58508_flag=0_multi=161.6719_len=48359	0.1125	0.8875
P6018_k119_115819_flag=1_multi=41.1477_len=47141_fragment_1	0.125	0.875
C3037_k119_53060_flag=0_multi=19.9806_len=39217	0	1
H4024_k119_678_flag=0_multi=30.9171_len=33773	0.957654185	0.042345815
C3001_k119_13249_flag=3_multi=1351.0000_len=33990	0	1
H4008_k119_56402_flag=1_multi=26.9805_len=26853	0	1
M2072_k119_144608_flag=1_multi=36.0000_len=28965	0.982544053	0.017455947
H4031_k119_140474_flag=3_multi=8.0022_len=3825	0.0125	0.9875
M2068_k119_64428_flag=0_multi=37.0000_len=47859	0.0625	0.9375
H4024_k119_69744_flag=0_multi=110.2339_len=40486	0.3	0.7
H4030_k119_4037_flag=3_multi=575.0000_len=33262	0	1
M2041_k119_2985_flag=3_multi=171.0000_len=61737	0.2625	0.7375
H4035_k119_75029_flag=1_multi=20.8784_len=40505	0.025	0.975
P6014_k119_29066_flag=0_multi=74.9571_len=34598	0.811878202	0.188121798
M2028_k119_144956_flag=3_multi=90.0156_len=5877	0.883774397	0.116225603
M2042_k119_66769_flag=0_multi=320.9058_len=146144_fragment_1	0.975	0.025
H4014_k119_66496_flag=1_multi=3383.1682_len=151603	0.977588106	0.022411894
M2026_k119_51019_flag=1_multi=15.0000_len=54990	0.0125	0.9875
M2042_k119_21560_flag=1_multi=237.0000_len=12186	0.811878202	0.188121798
H4045_k119_129509_flag=0_multi=43.0164_len=56876_fragment_1	0.322522026	0.677477974
H4045_k119_205868_flag=3_multi=40.0009_len=42378	0.8	0.2
C3002_k119_2373_flag=1_multi=136.0000_len=97615	0.770044053	0.229955947
H4006_k119_182282_flag=0_multi=31.7110_len=71266_fragment_1	0.0125	0.9875
H4004_k119_74630_flag=3_multi=67.0000_len=38803	0.025	0.975
M2064_k119_318085_flag=0_multi=50.9239_len=40870	0.675	0.325
H4024_k119_22982_flag=0_multi=45.9320_len=61939_fragment_1	0.135022026	0.864977974
P6013_k119_30757_flag=1_multi=15.0000_len=29303	0.8625	0.1375
M2034_k119_188226_flag=0_multi=56.9063_len=24032	0.0375	0.9625
P6018_k119_188828_flag=0_multi=176.0000_len=37982	0.185544612	0.814455388
M2084_k119_103738_flag=1_multi=48.0000_len=26665	0.025	0.975
M2048_k119_26121_flag=0_multi=216.0000_len=27832	0.82363849	0.17636151
H4024_k119_41690_flag=0_multi=10.9793_len=19410_fragment_1	0.811878202	0.188121798
P6014_k119_81875_flag=0_multi=60.3356_len=60164	0.0625	0.9375
H4008_k119_14628_flag=1_multi=241.0000_len=57892	0.819312122	0.180687878
H4008_k119_76395_flag=0_multi=378.6662_len=18238	0	1
M2025_k119_7678_flag=1_multi=17.0000_len=25565	0.998951454	0.001048546
P6010_k119_204583_flag=3_multi=166.0037_len=45015	0.9	0.1
C3005_k119_74647_flag=1_multi=14.0000_len=88003_fragment_2	0.87973252	0.12026748
C3008_k119_7081_flag=0_multi=23.6852_len=39852	0.0125	0.9875
P6018_k119_14864_flag=0_multi=91.9448_len=33115	0	1
C3029_k119_73618_flag=1_multi=33.0000_len=38111	0.0125	0.9875
H4006_k119_73641_flag=0_multi=36.7902_len=54135_fragment_1	0.0125	0.9875
H4019_k119_294114_flag=3_multi=79.0161_len=5022	0.811878202	0.188121798
C3022_k119_251861_flag=3_multi=26.0052_len=5154	0.811878202	0.188121798
M2097_k119_17638_flag=0_multi=25.9712_len=34858	0.0375	0.9625
M2048_k119_211709_flag=0_multi=89.2747_len=59338	0.325	0.675
C3001_k119_26434_flag=1_multi=10.0000_len=31652	0.0875	0.9125
C3028_k119_130749_flag=1_multi=70.9874_len=110885_fragment_1	0.0625	0.9375
H4006_k119_242319_flag=3_multi=69.0016_len=42420	0.1	0.9
C3021_k119_144194_flag=1_multi=27.0000_len=21901	0.990056868	0.009943132
H4019_k119_196491_flag=0_multi=14.9871_len=21853	0.2375	0.7625
H4022_k119_150796_flag=0_multi=58.5827_len=56704_fragment_1	0.0125	0.9875
M2047_k119_261532_flag=3_multi=114.0226_len=5155	0.811878202	0.188121798
C3037_k119_69586_flag=0_multi=8.9484_len=3219	0.811878202	0.188121798
P6017_k119_52752_flag=1_multi=34.0000_len=36772	0.974446177	0.025553823
C3001_k119_87558_flag=1_multi=36.2039_len=34354	0.923264876	0.076735124
M2084_k119_49099_flag=0_multi=11.9823_len=12570	0.997522026	0.002477974
M2042_k119_321739_flag=1_multi=31.8435_len=51701	0.1375	0.8625
H4008_k119_93918_flag=1_multi=28.3691_len=34707	0.593006608	0.406993392
H4006_k119_183980_flag=1_multi=1857.7770_len=33433	0.932907003	0.067092997
M2014_k119_40328_flag=1_multi=76.9777_len=44518	0.825	0.175
C3010_k119_40372_flag=1_multi=25.0000_len=64382_fragment_1	0.9375	0.0625
H4006_k119_191697_flag=0_multi=17.5269_len=6623	0	1
C3035_k119_51149_flag=1_multi=87.0000_len=45829	0.0375	0.9625
M2069_k119_64052_flag=0_multi=998.6355_len=34196	0.9625	0.0375
M2027_k119_87522_flag=0_multi=551.0000_len=49729	0.0375	0.9625
M2028_k119_20968_flag=0_multi=48.0000_len=29698	0.0125	0.9875
H4022_k119_174338_flag=1_multi=23.0000_len=13355	0.811878202	0.188121798
C3011_k119_49311_flag=1_multi=44.0000_len=43871	0.885022026	0.114977974
M2068_k119_6739_flag=1_multi=47.0666_len=37119	0	1
P6016_k119_105950_flag=0_multi=47.6966_len=55783	0	1
M2064_k119_3369_flag=1_multi=70.0000_len=33570	0.873129971	0.126870029
C3004_k119_157078_flag=3_multi=111.0006_len=198876	0.642181488	0.357818512
P6010_k119_64255_flag=0_multi=123.7315_len=20735	0.1	0.9
H4040_k119_62361_flag=1_multi=15.0000_len=22231	0.896335747	0.103664253
C3022_k119_4400_flag=1_multi=47.9882_len=80092_fragment_1	0.811878202	0.188121798
P6012_k119_71879_flag=1_multi=194.0973_len=48121_fragment_1	0.0375	0.9625
H4022_k119_86402_flag=0_multi=88.6679_len=65193	0.0375	0.9625
M2072_k119_102618_flag=0_multi=2907.4359_len=206255_fragment_4	0.25	0.75
C3016_k119_73025_flag=1_multi=52.0000_len=32727	0.7875	0.2125
C3006_k119_79346_flag=0_multi=61.9725_len=44507	0.722742291	0.277257709
H4009_k119_85619_flag=0_multi=92.9240_len=24339	0.372522026	0.627477974
C3005_k119_3720_flag=0_multi=116.1298_len=67454_fragment_1	0.0875	0.9125
H4014_k119_41371_flag=0_multi=64.9739_len=49238_fragment_1	0.974446177	0.025553823
C3017_k119_64082_flag=1_multi=118.9955_len=50943	0.972522026	0.027477974
M2103_k119_203068_flag=0_multi=17.9325_len=55749_fragment_1	0.0125	0.9875
M2042_k119_216138_flag=1_multi=20.9713_len=13382	0	1
M2077_k119_3311_flag=1_multi=18.0000_len=26744	0.782544053	0.217455947
C3003_k119_49824_flag=1_multi=42.0000_len=33688_fragment_1	0.977588106	0.022411894
M2039_k119_17716_flag=1_multi=24.0000_len=24059	0.025	0.975
E5009_k119_68986_flag=0_multi=283.8263_len=31040	0	1
C3006_k119_113534_flag=3_multi=95.0000_len=61182	0.025	0.975
C3022_k119_84602_flag=1_multi=22.0000_len=130849_fragment_1	0.825	0.175
M2069_k119_115536_flag=1_multi=16.9864_len=24758	0	1
C3015_k119_11141_flag=1_multi=16.0000_len=30939	0.025	0.975
H4024_k119_173270_flag=0_multi=154.5392_len=13487	0.924046015	0.075953985
E5009_k119_3108_flag=0_multi=22.9840_len=55176	0.775	0.225
H4004_k119_25372_flag=1_multi=12.0000_len=25615	0	1
H4035_k119_47043_flag=0_multi=252.7737_len=44670	0	1
M2028_k119_105789_flag=1_multi=10.0000_len=17825	0.86912682	0.13087318
P6009_k119_85235_flag=0_multi=89.0000_len=11582	0	1
H4006_k119_242355_flag=3_multi=34.9436_len=45280	0.0125	0.9875
C3011_k119_59012_flag=0_multi=72.6692_len=55487_fragment_1	0	1
P6010_k119_119091_flag=1_multi=297.0000_len=50473	0.1125	0.8875
M2064_k119_200451_flag=0_multi=40.9935_len=123519_fragment_2	0.853690774	0.146309226
M2042_k119_20521_flag=1_multi=29.0000_len=23449	0.896757068	0.103242932
M2061_k119_707_flag=0_multi=25.4796_len=31342	0.0625	0.9375
P6005_k119_109028_flag=0_multi=96.9562_len=43930	0.775	0.225
H4008_k119_17250_flag=1_multi=20.0000_len=13677	0.811878202	0.188121798
M2071_k119_120293_flag=0_multi=58.7566_len=4885	0	1
H4024_k119_3993_flag=0_multi=101.8975_len=19829	0.999210342	0.000789658
C3010_k119_1423_flag=1_multi=131.9806_len=269785_fragment_2	0.4375	0.5625
M2008_k119_29166_flag=0_multi=203.0000_len=4712	0.811878202	0.188121798
P6016_k119_159807_flag=3_multi=44.0070_len=6390	0.811878202	0.188121798
C3003_k119_33215_flag=0_multi=14.0000_len=21506	0.87853067	0.12146933
M2008_k119_34100_flag=0_multi=26.5240_len=26285_fragment_1	0	1
C3008_k119_38670_flag=1_multi=11.0000_len=19963	0.9875	0.0125
M2041_k119_10843_flag=1_multi=22.0000_len=36540	0	1
H4006_k119_140271_flag=1_multi=269.0000_len=93584	0.9375	0.0625
P6014_k119_37673_flag=1_multi=85.0000_len=37888	0	1
M2034_k119_164346_flag=1_multi=12.5932_len=5193	0.827299866	0.172700134
C3006_k119_31106_flag=1_multi=119.9695_len=82165_fragment_1	0.275	0.725
C3003_k119_5214_flag=1_multi=25.0000_len=36435	0.890198238	0.109801762
M2021_k119_25505_flag=1_multi=32.0000_len=35040_fragment_1	0.811878202	0.188121798
C3002_k119_723_flag=0_multi=19.9759_len=26054	0.811878202	0.188121798
C3027_k119_59204_flag=1_multi=14.0000_len=37118	0	1
C3008_k119_14285_flag=1_multi=42.0000_len=37571	0.0125	0.9875
C3013_k119_52222_flag=0_multi=17.0000_len=30559	0.95	0.05
C3002_k119_43271_flag=0_multi=318.3252_len=39435	0.829244566	0.170755434
M2085_k119_138112_flag=0_multi=120.9458_len=44400	0.775	0.225
H4006_k119_8242_flag=1_multi=174.9424_len=120916_fragment_1	0.9375	0.0625
H4027_k119_24458_flag=1_multi=271.0000_len=76819	1	0
E5013_k119_90158_flag=1_multi=11.0000_len=5230	0.811878202	0.188121798
M2014_k119_101224_flag=0_multi=41.9723_len=29685	0	1
H4008_k119_26056_flag=1_multi=27.9098_len=12099	1	0
H4018_k119_17760_flag=1_multi=12.0000_len=39187	0.2625	0.7375
M2071_k119_51168_flag=1_multi=13.0000_len=24454	0.6625	0.3375
H4008_k119_183203_flag=0_multi=57.8613_len=16558	0.986381236	0.013618764
E5009_k119_119428_flag=1_multi=173.0309_len=144958	0.1125	0.8875
H4044_k119_85326_flag=0_multi=27.9807_len=28067	0	1
C3012_k119_130388_flag=1_multi=35.0000_len=85852_fragment_1	0	1
H4043_k119_74776_flag=0_multi=39.2595_len=76962_fragment_1	0.0125	0.9875
P6028_k119_81812_flag=0_multi=50.4417_len=38990_fragment_1	0.225	0.775
H4027_k119_52299_flag=1_multi=15.0000_len=8424	0.811878202	0.188121798
C3023_k119_88223_flag=1_multi=13.0000_len=29353	0.930951615	0.069048385
C3001_k119_73714_flag=0_multi=24.9768_len=30110	0.897962555	0.102037445
H4004_k119_63771_flag=0_multi=113.9613_len=117018_fragment_1	0.972093477	0.027906523
M2027_k119_18602_flag=1_multi=6.0000_len=3748	0.811878202	0.188121798
M2059_k119_1620_flag=1_multi=33.0000_len=36837	0.15	0.85
M2084_k119_61269_flag=0_multi=61.0000_len=28648	0.7125	0.2875
P6017_k119_46184_flag=1_multi=19.0000_len=38990	0.0125	0.9875
M2060_k119_111795_flag=0_multi=26.9716_len=18402	0.934457086	0.065542914
M2068_k119_71236_flag=1_multi=82.9652_len=40209	0	1
P6005_k119_89365_flag=1_multi=17.0000_len=23445	0	1
M2061_k119_18132_flag=0_multi=21.2998_len=20745	0.075	0.925
P6010_k119_117134_flag=0_multi=48.1439_len=40419	0.455066079	0.544933921
C3004_k119_84168_flag=1_multi=13.0000_len=12783	0.888055613	0.111944387
C3028_k119_60635_flag=0_multi=135.8711_len=21068	0.0125	0.9875
P6009_k119_7880_flag=0_multi=15.9849_len=19927	0.947031526	0.052968474
C3022_k119_235549_flag=1_multi=56.5519_len=157311_fragment_2	0.75	0.25
C3027_k119_58944_flag=1_multi=1446.2038_len=94558	0.977588106	0.022411894
M2064_k119_2328_flag=1_multi=63.0000_len=39406	0	1
C3021_k119_203789_flag=0_multi=52.0578_len=59977_fragment_1	0	1
C3013_k119_5145_flag=1_multi=25.0000_len=41466	0	1
P6024_k119_67948_flag=1_multi=8.0000_len=4495	0.811878202	0.188121798
